question_text,Option_A,Option_B,Option_C,Option_D,correct_answer,domain
"Inside a Verilog always block, what is the key simulation difference between blocking (=) and non-blocking (<=) assignments?","Blocking must always be used for sequential flops, while non-blocking cannot synthesize.","Blocking updates immediately in statement order, while non-blocking schedules updates for the end of the time step.",Non-blocking assignments introduce analog delays automatically.,Blocking assignments can only assign constants.,B,digital_design
Why is one-hot state encoding often attractive for FPGA FSMs even though it uses more flip-flops than binary encoding?,It always minimizes the number of flip-flops.,"It can simplify next-state and output decoding, often improving timing through LUT fabric.",It eliminates all illegal states automatically.,It removes the need for reset logic.,B,digital_design
A ripple-carry adder is too slow for a wider datapath because each carry waits for the previous stage. Which adder concept addresses this bottleneck?,Reducing all transistor counts by half,"Computing carry generate/propagate signals in parallel, as in a carry-lookahead adder",Lowering the supply voltage,Using Gray code for all operands,B,digital_design
What is the main goal of Clock Tree Synthesis during physical implementation?,Convert sequential logic into combinational gates.,Distribute the clock to registers with controlled insertion delay and minimized skew.,Generate software test benches automatically.,Choose the instruction set of the processor.,B,digital_design
What is a key risk when an asynchronous reset is deasserted very close to a clock edge?,The design cannot be reset unless the clock is stopped.,Different registers may exit reset inconsistently or violate recovery/removal timing.,The combinational critical path is always shortened.,All scan chains are disabled permanently.,B,digital_design
"In manufacturing test, what does a stuck-at-0 fault model represent?",A signal that switches more slowly than expected but eventually reaches 1.,A node that behaves as though it is permanently tied to logic 0.,A register that powers up randomly.,A temporary crosstalk event between adjacent routes.,B,digital_design
Why are scan chains inserted into many digital ICs?,To make cache memory faster.,To connect internal flip-flops into shift-register paths for test access.,To protect the die from electrostatic discharge only.,To automatically correct all memory bit failures.,B,digital_design
A 32-bit data stream must cross between unrelated clocks without dropping words. Which structure is generally appropriate?,A single two-flop synchronizer on every data bit with no control protocol,An asynchronous FIFO with synchronized read/write pointers,A combinational decoder between the two domains,A larger output buffer on the source gates only,B,digital_design
"When a CMOS gate toggles repeatedly, which power component is usually associated with charging and discharging load capacitance?",Only static leakage power,Dynamic switching power,Gate-oxide breakdown current,Electromigration current only,B,digital_design
What does clock skew measure in a synchronous digital system?,The gradual long-term drift of oscillator frequency due to aging only,The difference in arrival time of the same clock edge at different registers,The ratio of clock high time to low time,The number of clock domains in the design,B,digital_design
Why can long parallel wires in deep-submicron layouts create timing or functional problems?,Capacitive coupling can inject glitches or change delay on neighboring signals.,They reduce the physical strength of the silicon die.,They prevent the standard-cell library from being read.,They remove the need for clock tree synthesis.,A,digital_design
Which statement best distinguishes Mealy and Moore FSM outputs?,Mealy FSMs never use a clock.,"Mealy outputs depend on state and inputs, while Moore outputs depend only on state.",Moore FSMs cannot implement counters.,Mealy FSMs always require more flip-flops than Moore FSMs.,B,digital_design
"A 2-to-1 MUX has I0 tied to 0, I1 tied to 1, and select S used as the only input. What logic function appears at the output?",NOT gate,Buffer,AND gate,OR gate,B,digital_design
What can gate-level simulation with timing checks reveal that pure static timing analysis may not fully exercise?,The exact wafer cost for a process node,"Stimulus-dependent functional behavior, X propagation, and some dynamic glitch/reset interactions",The physical color of each metal layer,The instruction set chosen by software developers,B,digital_design
"For a register with asynchronous reset, what does the removal time constraint specify?",The time needed to remove a cell from the physical database.,The minimum time reset must remain asserted after a clock edge before it is deasserted.,The delay through a multi-stage synchronizer.,The time needed to discharge all chip capacitance after power-off.,B,digital_design
A combinational always block assigns an output in one branch of an if statement but omits the else/default case. What hardware may synthesis infer?,Only a smaller AND gate,A latch to preserve the previous output value,A scan chain automatically,A clock tree buffer,B,digital_design
What problem do antenna rules address during IC fabrication?,Receiving wireless signals through on-chip antennas.,Charge buildup on long metal connected to transistor gates during processing.,Excessive clock tree depth only.,Functional coverage closure in simulation.,B,digital_design
Why is on-chip variation (OCV) considered during timing signoff?,To account for changes in silicon wafer market price.,"To model local delay differences caused by voltage, temperature, and process variation across the die.",To compare different EDA software license costs.,To decide whether the chip package should be plastic or ceramic only.,B,digital_design
Why does replacing a ripple counter with a synchronous counter usually improve maximum operating frequency?,It always reduces total silicon area.,"All flip-flops update from the same clock, avoiding accumulated clock-to-Q ripple delay.",It eliminates all leakage current.,It removes the need for binary encoding.,B,digital_design
"During static timing analysis, what does negative slack indicate for a checked path?",The path has extra margin beyond the requirement.,The path violates its timing requirement.,The design is consuming less power than expected.,The synthesis tool must use smaller cells.,B,digital_design
A block is idle for many cycles but still receives a toggling clock. Which technique most directly reduces its dynamic power without lowering global frequency?,Increase threshold voltage only,Use clock gating for the idle block,Add decoupling capacitors only,Replace copper wires with aluminum wires,B,digital_design
A signal crosses from a 0.8 V logic domain into a 1.2 V domain. Which special cell is normally used to translate the logic level safely?,Level shifter,Clock tree inverter only,Scan multiplexer only,Antenna diode only,A,digital_design
"When a power-gated block is turned off, what is the purpose of isolation cells on signals going to still-active logic?",To isolate the chip from room temperature changes.,To clamp outputs to known safe values instead of letting them float.,To correct all logic errors in the active domain.,To replace the need for power switches.,B,digital_design
A 6-input FPGA LUT is used to implement combinational logic. Which statement best describes how the LUT realizes a Boolean function?,It stores the function's truth table and uses input bits to select the output value.,It can only implement AND and OR gates directly.,It behaves like an analog amplifier whose gain is set by configuration bits.,It requires an external microcontroller to compute each output at run time.,A,digital_design
"In FPGA RTL, why is using a flip-flop clock-enable pin usually preferred over gating the clock with LUT logic?",Clock enables always remove all dynamic power in the entire FPGA.,Clock enables preserve the dedicated clock network and avoid creating glitch-prone fabric-generated clocks.,Clock enables make setup and hold timing irrelevant.,Clock enables are only used for asynchronous resets.,B,digital_design
A design needs a 1024 x 32 synchronous memory inside an FPGA. Which resource is usually the better target compared with implementing it entirely in LUT fabric?,Carry-chain only,Block RAM,Clock manager only,Input serializer only,B,digital_design
A signal-processing datapath contains several 18 x 18 multipliers. Which FPGA resource is typically best suited for efficient implementation?,General-purpose IO pins only,DSP slices or multiplier blocks,Configuration flash only,Global reset buffer only,B,digital_design
An asynchronous push-button input enters an FPGA and controls synchronous logic. What is the safest first step before using it as a control signal?,Route it directly into many state-machine inputs.,"Synchronize it through flip-flops in the target clock domain, then debounce if needed.",Use it as a generated clock for the whole design.,Tie it to a block RAM address without sampling.,B,digital_design
"A camera pixel stream runs on a pixel clock, while the processing pipeline uses a different system clock. Which FPGA structure commonly handles this clock crossing for bursts of pixel data?",A single inverter between the two clocks,A gated version of the pixel clock made from LUT logic,A dual-clock FIFO,A priority encoder on every pixel bit,C,digital_design
Why must FPGA designers provide accurate clock constraints to the implementation tool?,The tool cannot place any LUTs unless every signal has a manual location.,Timing analysis and optimization depend on knowing clock periods and relationships.,Clock constraints automatically prove functional correctness.,Clock constraints replace the need for RTL simulation.,B,digital_design
An FPGA path passes through too many LUT levels and fails timing. What is the typical effect of inserting a pipeline register in the path?,It reduces latency to zero.,It removes the need for any clock constraint.,"It can improve maximum clock frequency by shortening each combinational stage, while adding cycle latency.",It converts all logic into analog circuitry.,C,digital_design
A pipeline has one stage with much more logic delay than neighboring stages. What does retiming try to do?,Add random delay to all fast paths only.,Move registers across combinational logic to balance stage delays without changing function.,Turn synchronous resets into asynchronous resets automatically.,Insert manufacturing scan chains only.,B,digital_design
Why can an incorrectly applied multicycle-path constraint be dangerous?,It removes the destination flip-flop from the netlist.,"It relaxes timing analysis, but the real control logic may still sample the data too early.",It doubles static leakage in every cell.,It forces routing through high-resistance metal only.,B,digital_design
How can IR drop create setup timing failures in a high-speed digital block?,It permanently changes transistor channel length.,"Lower local VDD reduces drive strength, increasing gate delays.",It forces the clock to run at a higher frequency.,It eliminates all leakage paths.,B,digital_design
A destination register receives the same clock edge later than the source register because of extra clock-network delay. Which timing margin is most directly degraded?,Setup margin only,Hold margin,Both setup and hold margins always improve,Static power margin,B,digital_design
A low-power OTA input pair must maximize gm efficiency at a fixed drain current. Which MOSFET operating region provides the highest gm/ID?,Subthreshold (Weak Inversion) region,Saturation (Strong Inversion) region,Triode (Linear) region,Velocity Saturation region,A,analog_design
A common-source gain stage does not meet its target gain because the output resistance is too low. Which benefit is expected from adding a cascode device?,To maximize the output voltage swing,To increase the output impedance and voltage gain,To reduce the power consumption of the circuit,To lower the total input capacitance via the Miller effect,B,analog_design
An inverter must be sized so that PMOS pull-up and NMOS pull-down delays are approximately symmetric. Which device-physics factor mainly drives the wider PMOS sizing?,PMOS devices experience higher threshold voltages.,PMOS devices suffer more from latch-up.,The mobility of holes in silicon is lower than the mobility of electrons.,The gate oxide capacitance (Cox) is lower for PMOS devices.,C,analog_design
A low-frequency noise plot shows a noise power spectral density that falls approximately as 1/f. Which physical noise mechanism is being observed?,Thermal noise,Shot noise,Burst noise,Flicker noise,D,analog_design
"In a resistor-noise calculation, the resistance is increased from R to 4R while temperature and bandwidth stay constant. How does the thermal noise voltage density change?",It doubles.,It quadruples.,It remains unchanged.,It drops to one-half.,A,analog_design
A current mirror is being ported to a low-VDD CMOS process and its devices struggle to remain in saturation. What is the primary limitation being encountered?,An absolute lack of thermal tracking between matching pairs,Headroom constraints required to keep the reference and mirror transistors in saturation,Excessive high-frequency oscillation at the mirror node,Complete degradation of electron mobility due to low voltage fields,B,analog_design
An OTA input stage fails its input-offset target because of random device mismatch. Which design change most directly improves mismatch performance?,Decreasing the length (L) while maximizing the width (W) of the input devices,Biasing the input pair deep into the triode region,Increasing the gate area (W x L) of the input differential pair transistors,Utilizing a single-ended layout routing topology,C,analog_design
A two-stage op amp has poor phase margin before compensation. What is the main stability effect targeted by Miller compensation?,To eliminate the right-half-plane (RHP) zero entirely without adding series elements,To decrease the overall open-loop DC gain of the amplifier structure,To minimize the physical area layout footprint of the compensation capacitor,"To split the dominant and non-dominant poles apart, enhancing stability",D,analog_design
A Class-A output stage drives an ideal sinusoidal voltage across a resistive load while conducting bias current continuously. What is its theoretical maximum efficiency?,25%,50%,78.5%,100%,A,analog_design
"In a bandgap reference, a PTAT voltage is combined with a BJT VBE term. What temperature-coefficient characteristic does the VBE term provide?",Proportional to Absolute Temperature (PTAT),Complementary to Absolute Temperature (CTAT),Temperature-independent across all operational bounds,Exponentially PTAT at high operating ranges,B,analog_design
"During loop-stability analysis, a zero is found in the right-half plane. Why is this zero usually harmful to phase margin?",It heavily suppresses the high-frequency gain profile of the amplifier.,It forces the amplifier loop into a latch-up condition at DC.,"It introduces a phase lag while increasing the magnitude response, degrading stability.",It causes the input offset voltage to drift exponentially over time.,C,analog_design
A matched differential pair must be laid out to reduce first-order thermal and mask-gradient errors. Which layout approach is most appropriate?,Simple interdigitated layout,Random distributed layout configuration,Stacked vertical layout topology,Common-centroid layout,D,analog_design
An oscillator loop is being checked at its intended oscillation frequency. What loop-gain condition is required for sustained oscillation under the Barkhausen criterion?,"Exactly equal to 1, with a phase shift of 0 degrees (or multiples of 360)","Less than 1, with a phase margin exceeding 45 degrees","Exactly 0, ensuring absolute isolation from input noise","Infinite, providing unconstrained voltage amplification scaling",A,analog_design
A switched-capacitor network transfers charge between two nodes every clock cycle at frequency fs. What equivalent resistance does an ideal capacitor C emulate?,C / fs,1 / (C * fs),fs / C,1 / (2*pi * C * fs),B,analog_design
How does the Channel Length Modulation parameter λ (lambda) change as the physical channel length (L) of a MOSFET is increased?,"λ increases, causing lower output resistance (ro).",λ remains constant because it is solely determined by doping profile levels.,"λ decreases, resulting in a higher output resistance (ro).",λ drops to zero immediately once L exceeds the minimal design rule constraint.,C,analog_design
What is the effect of the body effect on an NMOS transistor when its source-to-body voltage (VSB) increases?,The threshold voltage (VTH) decreases.,The device transconductance (gm) increases dramatically.,The oxide capacitance (Cox) increases.,The threshold voltage (VTH) increases.,D,analog_design
A differential amplifier stage has a differential gain (Ad) of 40 dB and a common-mode rejection ratio (CMRR) of 60 dB. What is its common-mode gain (Acm) in decibels?,-20 dB,20 dB,100 dB,-100 dB,A,analog_design
Which of the following current mirror architectures provides the highest output impedance without requiring an auxiliary amplifier?,Simple current mirror,Wilson current mirror,Wide-swing cascode current mirror,Resistor-loaded basic current mirror,B,analog_design
What is the primary drawback of using an operational amplifier with high power supply rejection ratio (PSRR) at high frequencies?,High-frequency PSRR causes the amplifier to break into continuous sub-harmonic oscillation.,The DC gain drops to zero when high-frequency noise hits the power rail.,PSRR degrades at high frequencies because internal compensation capacitors form low-impedance paths for supply noise.,It requires the physical removal of guard rings from the layout environment.,C,analog_design
"In a source-follower (common-drain) amplifier stage, what is the ideal value of voltage gain, and what is its primary practical deviation source?",Ideal gain is infinite; restricted primarily by gate leakage currents,Ideal gain is 0.5; amplified primarily by thermal noise profiles,Ideal gain is 1; attenuated primarily by large overlap capacitance fields,Ideal gain is 1; attenuated primarily by the body effect parameter (gmb),D,analog_design
"When designing a high-speed track-and-hold circuit, what analog non-ideality occurs when the MOS sampling switch turns off, releasing stored channel charge?",Charge injection and clock feedthrough,Thermal noise floor folding,Subthreshold avalanche ionization,Electromigration of the capacitor dielectric,A,analog_design
What is the primary trade-off encountered when adding source degeneration resistors to a differential pair stage?,Voltage gain is maximized while input impedance drops close to zero.,Linearity is improved at the cost of reduced transconductance (gm) and higher noise.,Power consumption drops to zero while output swing matches supply rails perfectly.,"The dominant pole shifts to DC, completely eliminating the need for Miller capacitors.",B,analog_design
Why is a startup circuit necessary in a standard Beta-Multiplier or self-biased reference circuit?,To prevent immediate dielectric breakdown of thin oxide layers during power-up,To boost high-frequency gain margins during start-up,The circuit has an unwanted stable state where all currents are exactly zero.,To filter out supply ripple noise from entering sensitive bias lines,C,analog_design
What type of frequency response characteristic is generated by a feedforward path around an inverting gain stage?,A Left-Half-Plane (LHP) pole pair,A stable linear reduction in total propagation delay metrics,An absolute elimination of thermal noise spectral density lines,A Right-Half-Plane (RHP) zero,D,analog_design
What is the primary advantage of a Folded Cascode OTA compared to a Telescopic Cascode OTA?,Larger input common-mode voltage range and output swing range,Significantly lower power consumption for identical gain-bandwidth metrics,Higher open-loop DC gain under identical bias current levels,Complete immunity to flicker and white noise spectra,A,analog_design
"In a CMOS operational amplifier, how does the unity-gain bandwidth (GBW) scale with changes to the load capacitance (CL)?",GBW increases linearly with CL.,GBW is inversely proportional to CL.,GBW scales with the square root of CL.,GBW is independent of CL due to internal closed-loop scaling factors.,B,analog_design
Which parameter defines the maximum rate of change of an operational amplifier's output voltage when driven by a large step input?,Gain-Bandwidth Product,Phase Margin,Slew Rate,Settling Time Accuracy Floor,C,analog_design
What is the primary engineering motivation for using Fully Differential signaling topologies in integrated analog processing architectures?,Reducing the total transistor component layout count by exactly 50%,Eliminating the need for common-mode feedback (CMFB) systems completely,Allowing single-ended signals to pass through without any power dissipation footprint,"Rejection of common-mode noise, substrate noise, and even-order harmonic distortion products",D,analog_design
What is the role of a Common-Mode Feedback (CMFB) circuit in a fully differential operational amplifier?,To sense the output common-mode voltage and adjust internal bias currents to stabilize it,To amplify the differential input signal while filtering out high-frequency thermal noise,To force the differential gain to match the common-mode gain exactly,To convert the differential output signal back into a single-ended signal layout path,A,analog_design
"In a continuous-time voltage comparator circuit, what is the primary benefit of adding positive feedback (hysteresis)?",To linearize the input-to-output transfer function curve,To prevent output chatter caused by noise on the input signals,To ensure the input impedance approaches zero ohms at high frequencies,To reduce the physical area footprint of the input differential stage,B,analog_design
What is the total integrated thermal noise power of an ideal low-pass RC filter network driven by white noise?,4kTR,kT * R * C,kT / C,1 / (2*pi * RC),C,analog_design
Which of the following describes the accurate matching behavior of a pair of identical resistors implemented on a silicon wafer layout?,Matching accuracy depends exclusively on the sheet resistance value.,Matching accuracy is optimized by routing matching resistors perpendicular to each other.,Matching accuracy improves as width approaches the minimum sub-micron design rules.,Matching accuracy improves with larger layout areas and closer physical proximity.,D,analog_design
What is the primary engineering rationale for selecting a Chopper Stabilization architecture over an Auto-Zeroing architecture in low-frequency instrumentation amplifiers?,Chopper stabilization modulates low-frequency noise to higher frequencies without causing noise aliasing (folding) down to DC.,Chopper stabilization entirely avoids using any active clock signal lines.,Chopper stabilization reduces the physical layout area of the amplifier by half.,Chopper stabilization eliminates the need for any high-frequency filter elements.,A,analog_design
"In deep sub-micron CMOS nodes, how does reducing the supply voltage (VDD) affect analog design margins?",It exponentially reduces the gate leakage currents through thin oxide dielectrics.,"It decreases voltage headroom, making it harder to keep cascoded transistors in saturation.",It completely eliminates flicker noise from the active signal paths.,It increases the intrinsic gain (gm * ro) of short-channel transistors.,B,analog_design
What is the impact of a significant Left-Half-Plane (LHP) zero introduced into the feedback loop of an operational amplifier?,"It adds an immediate 90 degree phase lag, accelerating loop instability.","It attenuates high-frequency gain signals, acting like a low-pass filter element.","It provides positive phase shift (lead), which can improve the phase margin.",It limits the low-frequency open-loop DC gain of the input differential stage.,C,analog_design
"Which of the following mechanisms causes the non-zero output conductance (1/ro) in short-channel MOSFETs, beyond standard channel length modulation?",Grown junction oxide tunneling leakage fields,Pelgrom geometric variation effects,Bipolar carrier recombination lifetime parameters,Drain-Induced Barrier Lowering (DIBL),D,analog_design
"In a matched transistor array, dummy devices are placed at the array edges. What fabrication-related purpose do these dummy devices serve?",To ensure uniform etching and photolithography profiles for the critical core matching elements,To serve as alternative backup connections if primary devices fail electrostatically,To increase the parasitic routing capacitance around sensitive amplifier nodes,To route high-current digital signal paths through vacant layout areas,A,analog_design
A PLL has settled after acquisition. Which observation best indicates that the loop is locked?,The loop filter output voltage begins oscillating symmetrically between ground and the supply rails.,"The frequency of the feedback signal matches the reference signal exactly, with a constant phase difference.",The charge pump injects maximum current into the system loop continuously.,"The VCO frequency drops to zero hertz, eliminating phase noise.",B,analog_design
An ideal ADC converts a continuous input into a finite number of output codes. What is the fundamental origin of quantization noise?,Thermal noise generated by the sampling switches' resistance,The finite rejection ratio of supply ripples through reference voltage nodes,The rounding error that occurs when mapping a continuous analog signal onto a discrete set of digital codes,Substrate leakage current across the comparator input stages,C,analog_design
A Miller-compensated amplifier suffers from a destabilizing feedforward path through the compensation capacitor. Which compensation approach uses a buffer to remove the RHP zero?,Simple shunt RC peak compensation,Dominant pole filtering compensation without feedback structures,Cross-coupled positive feedback neutralization layout style,Ahuja compensation or voltage/current buffer Miller compensation,D,analog_design
"In a continuous-time delta-sigma modulator, what is the loop filter primarily designed to do to quantization noise?","It shapes quantization noise, shifting it from low frequencies to high frequencies.",It acts as a high-speed sample-and-hold circuit for input tracking.,It dampens the master clock signal to prevent clock jitter.,It converts the multi-bit digital output code back into an analog current.,A,analog_design
"A bulk CMOS chip must be protected from latch-up during transient current injection. What mechanism causes latch-up, and what layout method helps prevent it?",Dielectric breakdown of the gate oxide; prevented by adding series resistors to gates,Parasitic SCR turn-on; prevented by utilizing guard rings and minimizing substrate resistance,Electromigration of metal paths; prevented by widening supply lines,Channel hot-carrier injection; prevented by increasing channel lengths,B,analog_design
"An op amp with 60 dB DC gain has real poles at 1 MHz, 10 MHz, and 50 MHz. What is the likely result when it is used as a unity-gain feedback buffer without compensation?",The circuit will be perfectly stable with a phase margin exceeding 60 degrees.,"The poles will cancel each other out at unity gain, linearizing the amplifier.",The circuit will be unstable and oscillate because the loop gain is much greater than 1 before the phase reaches -180 degrees.,The open-loop DC gain will drop to 0 dB instantly due to negative feedback loading.,C,analog_design
"For a medium-resolution data converter, why is a SAR ADC often preferred over a flash ADC?","Higher sampling speed, completing conversions within a single clock cycle",Absolute immunity to clock jitter and thermal noise errors,Elimination of the need for an input sample-and-hold circuit,Significantly smaller layout area and lower power consumption for medium-to-high resolutions,D,analog_design
A low-noise CMOS amplifier must reduce low-frequency 1/f noise at the input. Which input-device choice is usually prioritized?,Use PMOS input transistors with large channel areas (W x L).,Minimize transistor width while maximizing channel length to limit bias currents.,Operate the input pair deep in the triode region with minimal drain voltage.,Replace the input transistors with small unsiliciated poly resistors.,A,analog_design
What is the total integrated thermal noise power (mean square noise voltage) across a basic parallel RC network connected to an open thermal system?,vn² = 4kTR,vn² = kT / C,vn² = 4kTRB,vn² = kT / (R · C),B,mixed_signal
"In a discrete-time switched-capacitor circuit clocked at frequency Fs, a capacitor C switched between two discrete voltage nodes behaves globally as an equivalent resistor. What is its effective resistance value (Req)?",Req = C · Fs,Req = 1 / (C · Fs),Req = ln(2) / (C · Fs),Req = Fs / C,B,mixed_signal
"A 12-bit Successive Approximation Register (SAR) ADC utilizes a binary-weighted capacitive DAC. If the total capacitance of the array is C_tot, what is the value of the Least Significant Bit (LSB) capacitor?",C_tot / 12,C_tot / 2048,C_tot / 4096,C_tot / 4095,C,mixed_signal
"How does Flicker Noise (1/f noise) in MOSFET devices scale with transistor geometry, and which channel type typically exhibits lower flicker noise in standard bulk CMOS?",Proportional to area (W·L); NMOS is quieter than PMOS.,Inversely proportional to area (1 / (W·L)); PMOS typically exhibits lower flicker noise than NMOS.,Independent of device length (L); NMOS is quieter due to higher mobility.,Inversely proportional to oxide thickness only; PMOS and NMOS show identical performance.,B,mixed_signal
What is the primary purpose of utilizing 'Non-Overlapping Clocks' (Phi1 and Phi2) in switched-capacitor circuits?,To accelerate the operational charging speed of internal analog nodes.,"To prevent the simultaneous conduction of sampling switches, which would cause direct charge leakage between separate analog nodes.",To shape the quantization noise profile into high-frequency spectrum bands.,To minimize the physical injection of substrate currents into the active digital core.,B,mixed_signal
Which design technique effectively reduces digital switching noise coupling into sensitive analog nodes through a common silicon substrate?,Routing high-speed digital lines directly parallel to sensitive analog input lines.,"Utilizing guard rings connected to clean, dedicated supply lines, and isolating analog blocks inside deep N-wells.","Tying analog and digital ground networks together globally using a long, high-impedance metal trace.",Increasing the input drive strength of all nearby digital clock buffers.,B,mixed_signal
"An engineer evaluates an ADC and reports an Effective Number of Bits (ENOB) of 9.2 bits. If the target signal bandwidth is 2 MHz, what is the calculated Sinad (Signal-to-Noise and Distortion) value?",55.2 dB,57.1 dB,62.4 dB,48.5 dB,B,mixed_signal
What is the primary function of 'Miller Compensation' in a standard two-stage CMOS operational amplifier?,To increase the high-frequency open-loop voltage gain.,"To split the pole frequencies by moving the dominant pole lower and the non-dominant pole higher, ensuring circuit stability.",To eliminate the right-half-plane zero created by parasitic path bypass.,To lower the total static power dissipation of the output stage.,B,mixed_signal
What is the difference between SNR and SNDR (SINAD) in ADC characterisation?,"SNR includes only thermal noise; SNDR adds harmonic distortion components, giving a more complete measure of dynamic performance",SNR and SNDR are identical metrics with different names,SNDR measures only distortion; SNR measures only noise,SNR applies to DACs; SNDR applies to ADCs,A,mixed_signal
